long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
guillermo matias fernandez,1991-10-11,178,75,liga profesional,1,boca juniors,8,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro derecho,no convocado
paulo cesar diaz huincales,1994-08-25,178,76,liga profesional,1,river plate,17,chile,99,derecha,defensor central,defensor central izquierdo,no convocado
ivan jose marcone,1990-06-03,182,79,liga profesional,1,independiente,23,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo derecho,no convocado
lucas ezequiel janson,1994-08-18,171,67,liga profesional,1,velez sarsfield,11,argentina,99,derecha,"extremo izquierdo, delantero",extremo izquierdo,no convocado
miguel angel borja hernandez,1993-01-26,183,87,liga profesional,1,river plate,9,colombia,99,derecha,delantero,delantero izquierdo,no convocado
oscar david romero villamayor,1992-07-04,176,74,liga profesional,1,boca juniors,10,paraguay,99,izquierda,"mediocampista ofensivo, mediocampista derecho, mediocampista central",mediocampista ofensivo,no convocado
ezequiel omar barco,1999-03-29,167,66,liga profesional,1,river plate,21,argentina,99,derecha,"mediocampista izquierdo, delantero, extremo izquierdo",suplente,no convocado
martin exequiel ojeda,1998-11-27,179,78,liga profesional,1,godoy cruz,10,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo",mediocampista derecho,no convocado
alan gonzalo varela,2001-07-04,177,73,liga profesional,1,boca juniors,33,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
emiliano gabriel vecchio,1988-11-16,178,84,liga profesional,1,racing club,20,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",suplente,no convocado
luis jan piers advincula castrillon,1990-03-02,180,80,liga profesional,1,boca juniors,17,peru,99,derecha,lateral derecho,lateral derecho,no convocado
francisco andres pizzini,1993-09-19,178,75,liga profesional,1,talleres cordoba,19,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo",mediocampista izquierdo,no convocado
brahian milton aleman athaydes,1989-12-23,178,79,liga profesional,1,banfield,10,uruguay,99,izquierda,"mediocampista central, mediocampista ofensivo, mediocampista derecho",mediocampista ofensivo,no convocado
rodrigo francisco jesus rey,1991-03-08,190,76,liga profesional,1,independiente,33,argentina,99,derecha,arquero,arquero,no convocado
lautaro daniel gianetti,1993-11-13,184,79,liga profesional,1,velez sarsfield,17,argentina,99,derecha,defensor central,suplente,no convocado
cristian franco lema,1990-03-24,191,93,liga profesional,1,lanus,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
emanuel mammana,1996-02-10,183,72,liga profesional,1,river plate,23,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
luis ezequiel unsain,1995-03-09,188,83,liga profesional,1,defensa y justicia,22,argentina,99,derecha,arquero,arquero,no convocado
jorge agustin rodriguez,1995-09-15,179,77,liga profesional,1,estudiantes,30,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
leonardo ezequiel godoy,1995-04-28,173,70,liga profesional,1,estudiantes,29,argentina,99,derecha,"lateral derecho, carrilero derecho",lateral derecho,no convocado
rodrigo german aliendro,1991-02-16,173,72,liga profesional,1,river plate,27,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
mateo retegui,1999-04-29,186,86,liga profesional,1,tigre,32,argentina,99,derecha,delantero,delantero,no convocado
anibal ismael moreno,1999-05-13,178,74,liga profesional,1,racing club,29,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
robert samuel rojas chavez,1996-04-30,176,75,liga profesional,1,river plate,2,paraguay,99,derecha,"lateral derecho, defensor central",suplente,no convocado
agustin palavecino lamela,1996-11-09,179,74,liga profesional,1,river plate,8,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",mediocentro derecho,no convocado
facundo hernan farias,2002-08-28,171,69,liga profesional,1,colon,35,argentina,99,derecha,"delantero, delantero centro, mediocampista izquierdo",suplente,no convocado
mariano gonzalo andujar,1983-07-30,194,88,liga profesional,1,estudiantes,21,argentina,99,derecha,arquero,arquero,no convocado
lautaro german acosta,1988-03-14,169,67,liga profesional,1,lanus,7,argentina,99,derecha,"mediocampista izquierdo, mediocampista derecho, delantero",mediocampista izquierdo,no convocado
bruno zuculini,1993-04-02,182,77,liga profesional,1,river plate,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
gabriel agustin hauche,1986-11-27,168,71,liga profesional,1,racing club,7,argentina,99,derecha,"extremo derecho, extremo izquierdo",suplente,no convocado
leonel jesus vangioni,1987-05-05,181,68,liga profesional,1,newell's old boys,21,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",suplente,no convocado
juan edgardo ramirez,1993-05-25,174,72,liga profesional,1,boca juniors,20,argentina,99,izquierda,"mediocampista central, mediocampista izquierdo",suplente,no convocado
leonel ariel miranda,1994-01-07,173,70,liga profesional,1,racing club,19,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro derecho,no convocado
fernando zuqui,1991-11-27,173,66,liga profesional,1,estudiantes,8,argentina,99,derecha,"mediocampista central, mediocampista ofensivo, mediocampista defensivo",mediocentro derecho,no convocado
guido gabriel herrera,1992-02-29,187,67,liga profesional,1,talleres cordoba,22,argentina,99,izquierda,arquero,arquero,no convocado
gonzalo ruben piovi,1994-09-08,180,72,liga profesional,1,racing club,33,argentina,99,izquierda,"lateral izquierdo, defensor central, carrilero izquierdo",defensor central izquierdo,no convocado
walter ariel bou,1993-08-25,174,74,liga profesional,1,velez sarsfield,20,argentina,99,derecha,"delantero, mediocampista ofensivo, delantero centro",mediocampista ofensivo,no convocado
gabriel avalos stumpfs,1990-10-12,188,91,liga profesional,1,argentinos juniors,9,paraguay,99,derecha,delantero,delantero,no convocado
diego luis valoyes ruiz,1996-09-22,181,76,liga profesional,1,talleres cordoba,7,colombia,99,derecha,"mediocampista derecho, mediocampista izquierdo, delantero",mediocampista derecho,no convocado
david matias barbona,1995-02-22,179,69,liga profesional,1,defensa y justicia,7,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo",suplente,no convocado
alexis castro,1994-10-18,183,71,liga profesional,1,tigre,16,argentina,99,izquierda,"mediocampista izquierdo, mediocampista ofensivo, mediocampista central",mediocentro izquierdo,no convocado
kevin mac allister,1997-11-07,175,72,liga profesional,1,argentinos juniors,4,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
enzo nahuel copetti,1996-01-16,180,88,liga profesional,1,racing club,39,argentina,99,derecha,"delantero, extremo derecho",suplente,no convocado
juan manuel garcia,1992-11-14,183,82,liga profesional,1,newell's old boys,9,argentina,99,derecha,delantero,delantero,no convocado
hector david martinez,1998-01-21,182,76,liga profesional,1,river plate,6,paraguay,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
sergio damian barreto,1999-04-24,183,77,liga profesional,1,independiente,24,argentina,99,derecha,defensor central,defensor central derecho,no convocado
francisco gabriel ortega,1999-03-19,177,75,liga profesional,1,velez sarsfield,5,argentina,99,izquierda,lateral izquierdo,lateral izquierdo,no convocado
enzo hernan diaz,1995-12-07,175,74,liga profesional,1,talleres cordoba,15,argentina,99,izquierda,"lateral izquierdo, defensor central",lateral izquierdo,no convocado
santiago simon,2002-06-13,181,74,liga profesional,1,river plate,31,argentina,99,derecha,"mediocampista derecho, mediocampista central",suplente,no convocado
pablo solari,2001-03-22,181,77,liga profesional,1,river plate,16,argentina,99,derecha,"mediocampista derecho, delantero, extremo derecho",delantero derecho,no convocado
jose gustavo sand,1980-07-17,182,79,liga profesional,1,lanus,9,argentina,99,derecha,delantero,delantero,no convocado
mauro boselli,1985-05-22,181,70,liga profesional,1,estudiantes,17,argentina,99,derecha,delantero,delantero derecho,no convocado
leonardo fabian burian castro,1984-01-21,188,81,liga profesional,1,velez sarsfield,22,uruguay,99,derecha,arquero,arquero,no convocado
miguel angel torren,1988-08-12,176,71,liga profesional,1,argentinos juniors,2,argentina,99,derecha,defensor central,defensor central,no convocado
javier hernan garcia,1987-01-29,182,78,liga profesional,1,boca juniors,13,argentina,99,derecha,arquero,suplente,no convocado
emiliano adrian insua zapata,1989-01-07,180,79,liga profesional,1,racing club,48,argentina,99,izquierda,"defensor central, carrilero izquierdo",suplente,no convocado
pablo daniel piatti,1989-03-31,163,63,liga profesional,1,estudiantes,31,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo",mediocampista derecho,no convocado
facundo sebastian roncaglia,1987-02-10,179,76,liga profesional,1,boca juniors,2,argentina,99,derecha,"lateral derecho, defensor central",defensor central derecho,no convocado
lucas david pratto,1988-06-04,188,91,liga profesional,1,velez sarsfield,12,argentina,99,derecha,delantero,delantero,no convocado
edwin andres cardona bedoya,1992-12-08,183,92,liga profesional,1,racing club,70,colombia,99,derecha,"mediocampista ofensivo, mediocampista izquierdo, extremo izquierdo",suplente,no convocado
leandro martin gonzalez pirez,1992-02-26,185,89,liga profesional,1,river plate,14,argentina,99,derecha,defensor central,suplente,no convocado
juan ramon cazares sevillano,1992-04-03,171,70,liga profesional,1,independiente,11,ecuador,99,derecha,mediocampista ofensivo,mediocampista ofensivo,no convocado
raul alberto loaiza morelos,1994-06-08,180,70,liga profesional,1,lanus,15,colombia,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
leandro nicolas diaz,1992-06-06,180,85,liga profesional,1,lanus,18,argentina,99,derecha,delantero,suplente,no convocado
lucas hernan villalba,1994-08-19,177,73,liga profesional,1,argentinos juniors,6,argentina,99,izquierda,"defensor central, lateral izquierdo, carrilero izquierdo",defensor central izquierdo,no convocado
bruno felix bianchi massey,1989-02-17,183,79,liga profesional,1,atletico tucuman,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
lucas ariel menossi,1992-07-11,169,70,liga profesional,1,tigre,10,argentina,99,derecha,mediocampista central,mediocentro derecho,no convocado
rafael marcelo delgado,1990-01-13,178,70,liga profesional,1,colon,40,argentina,99,izquierda,"lateral izquierdo, defensor central",lateral izquierdo,no convocado
jorge nicolas figal,1994-04-03,181,64,liga profesional,1,boca juniors,4,argentina,99,derecha,"defensor central, lateral derecho",defensor central izquierdo,no convocado
elias jose gomez,1994-06-09,175,79,liga profesional,1,river plate,29,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",suplente,no convocado
lucas adrian hoyos,1989-04-29,183,76,liga profesional,1,newell's old boys,1,argentina,99,derecha,arquero,arquero,no convocado
facundo altamirano,1996-03-21,186,78,liga profesional,1,banfield,38,argentina,99,derecha,arquero,suplente,no convocado
lucas gabriel merolla,1995-06-27,193,85,liga profesional,1,huracan,6,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
cristian alberto tarragona,1991-04-09,176,75,liga profesional,1,gimnasia la plata,25,argentina,99,derecha,delantero,suplente,no convocado
matias nicolas rojas romero,1995-11-03,186,78,liga profesional,1,racing club,10,paraguay,99,izquierda,"extremo derecho, mediocampista derecho, mediocampista central",extremo derecho,no convocado
nahuel lautaro bustos,1998-07-04,176,64,liga profesional,1,talleres cordoba,10,argentina,99,derecha,"delantero, mediocampista izquierdo",delantero,no convocado
sandro leonardo morales,1991-04-11,180,72,liga profesional,1,gimnasia la plata,4,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
facundo tomas garces,1999-09-05,188,82,liga profesional,1,colon,33,argentina,99,derecha,defensor central,defensor central derecho,no convocado
willer emilio ditta perez,1997-01-23,180,80,liga profesional,1,newell's old boys,4,colombia,99,derecha,defensor central,defensor central izquierdo,no convocado
pedro de la vega,2001-02-07,177,71,liga profesional,1,lanus,10,argentina,99,derecha,"mediocampista derecho, extremo derecho, extremo izquierdo",suplente,no convocado
luca nicolas orellano,2000-03-22,177,66,liga profesional,1,velez sarsfield,10,argentina,99,izquierda,extremo derecho,extremo derecho,no convocado
aaron nicolas molinas,2000-08-02,175,67,liga profesional,1,boca juniors,16,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",suplente,no convocado
lisandro lopez,1983-03-02,174,74,liga profesional,1,sarmiento,7,argentina,99,derecha,"delantero, mediocampista ofensivo",delantero izquierdo,no convocado
jose ernesto sosa,1985-06-19,179,72,liga profesional,1,estudiantes,15,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
juan manuel insaurralde,1984-10-03,188,87,liga profesional,1,sarmiento,2,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
nicolas mario domingo,1985-04-08,174,70,liga profesional,1,patronato,17,argentina,99,derecha,"mediocampista defensivo, mediocampista central, defensor central",mediocentro derecho,no convocado
jonathan ramon maidana,1985-07-29,185,86,liga profesional,1,river plate,4,argentina,99,derecha,defensor central,suplente,no convocado
lucas nahuel castro,1989-04-09,182,76,liga profesional,1,huracan,19,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",mediocampista ofensivo,no convocado
jonathan david gomez,1989-12-21,171,71,liga profesional,1,racing club,11,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",suplente,no convocado
lucas abraham chavez,1995-08-09,178,75,liga profesional,1,huracan,1,argentina,99,derecha,arquero,arquero,no convocado
rafael perez,1990-01-09,186,76,liga profesional,1,talleres cordoba,2,colombia,99,derecha,defensor central,defensor central izquierdo,no convocado
felipe aguilar mendoza,1993-01-20,190,82,liga profesional,1,lanus,33,colombia,99,derecha,defensor central,suplente,no convocado
mauricio andres cuero castillo,1993-01-28,178,83,liga profesional,1,independiente,7,colombia,99,derecha,"mediocampista derecho, mediocampista izquierdo",mediocampista izquierdo,no convocado
paolo duval goltz,1985-05-12,184,82,liga profesional,1,colon,6,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
emmanuel mas sgros,1989-01-15,180,81,liga profesional,1,estudiantes,6,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo, mediocampista izquierdo",lateral izquierdo,no convocado
matias ezequiel catalan,1992-08-19,182,78,liga profesional,1,talleres cordoba,4,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
pablo javier perez,1985-08-10,177,75,liga profesional,1,newell's old boys,8,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
alan joaquin aguerre,1990-08-23,181,76,liga profesional,1,talleres cordoba,1,argentina,99,derecha,arquero,suplente,no convocado
sebastian emanuel moyano,1990-08-26,188,78,liga profesional,1,union santa fe,25,argentina,99,derecha,arquero,arquero,no convocado
mariano ezequiel bittolo,1990-04-24,170,62,liga profesional,1,argentinos juniors,27,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo, mediocampista izquierdo",mediocampista izquierdo,no convocado
martin cauteruccio rodriguez,1987-04-14,180,76,liga profesional,1,independiente,9,uruguay,99,derecha,"delantero, mediocampista derecho",delantero,no convocado
leonardo rafael jara,1991-05-20,183,80,liga profesional,1,velez sarsfield,29,argentina,99,derecha,lateral derecho,suplente,no convocado
alexis martin arias,1992-07-04,185,79,liga profesional,1,argentinos juniors,1,argentina,99,derecha,arquero,suplente,no convocado
nicolas orsini,1994-09-12,191,90,liga profesional,1,boca juniors,27,argentina,99,derecha,delantero,suplente,no convocado
leonel di placido,1994-01-28,176,72,liga profesional,1,lanus,26,argentina,99,derecha,"lateral derecho, carrilero derecho, mediocampista derecho",lateral derecho,no convocado
marcelo nicolas benitez,1991-01-13,178,73,liga profesional,1,defensa y justicia,28,argentina,99,izquierda,"lateral izquierdo, mediocampista izquierdo, mediocampista central",suplente,no convocado
marcelo javier cabrera rivero,1992-03-18,168,62,liga profesional,1,argentinos juniors,7,uruguay,99,derecha,"mediocampista derecho, mediocampista izquierdo, carrilero derecho",mediocampista derecho,no convocado
jose antonio devecchi,1995-07-09,188,83,liga profesional,1,san lorenzo,1,argentina,99,derecha,arquero,suplente,no convocado
ramon dario abila,1989-10-14,177,93,liga profesional,1,colon,12,argentina,99,derecha,delantero,delantero,no convocado
federico fattori mouzo,1992-07-22,175,70,liga profesional,1,huracan,24,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo izquierdo,no convocado
baldomero perlaza perlaza,1992-06-05,187,82,liga profesional,1,colon,14,colombia,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo derecho,no convocado
victor ignacio malcorra,1987-07-24,171,74,liga profesional,1,rosario central,10,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",mediocampista izquierdo,no convocado
nicolas martin tripichio,1996-01-05,175,68,liga profesional,1,defensa y justicia,14,argentina,99,derecha,"lateral derecho, defensor central",lateral derecho,no convocado
guillermo gaston acosta,1988-10-30,168,64,liga profesional,1,atletico tucuman,8,argentina,99,derecha,"mediocampista central, mediocampista derecho",mediocentro derecho,no convocado
carlos gustavo quintana,1988-02-10,190,88,liga profesional,1,rosario central,2,argentina,99,izquierda,defensor central,suplente,no convocado
gaston suso,1991-03-12,190,82,liga profesional,1,platense,6,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
gaston gomez,1996-03-04,190,99,liga profesional,1,velez sarsfield,1,argentina,99,derecha,arquero,suplente,no convocado
santiago caseres,1997-02-25,177,77,liga profesional,1,velez sarsfield,35,argentina,99,derecha,"mediocampista defensivo, mediocampista central, defensor central",suplente,no convocado
lucas blondel,1996-09-14,178,75,liga profesional,1,tigre,17,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
juan pablo alvarez,1996-02-10,176,72,liga profesional,1,colon,22,argentina,99,derecha,"mediocampista derecho, extremo derecho",suplente,no convocado
matias de los santos de los santos,1992-11-22,187,83,liga profesional,1,velez sarsfield,6,uruguay,99,derecha,defensor central,defensor central derecho,no convocado
matias german melluso,1998-06-09,170,63,liga profesional,1,gimnasia la plata,32,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",lateral izquierdo,no convocado
tomas belmonte,1998-05-27,178,68,liga profesional,1,lanus,5,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro derecho,no convocado
johan stiven carbonero balanta,1999-07-20,170,75,liga profesional,1,racing club,17,colombia,99,derecha,"extremo izquierdo, extremo derecho",extremo izquierdo,no convocado
juan gabriel rodriguez,1994-02-28,185,81,liga profesional,1,defensa y justicia,27,argentina,99,derecha,defensor central,suplente,no convocado
facundo colidio,2000-01-04,179,68,liga profesional,1,tigre,11,argentina,99,derecha,"mediocampista ofensivo, delantero, mediocampista izquierdo",mediocampista izquierdo,no convocado
marcelo andres herrera mansilla barrios,1998-11-03,178,75,liga profesional,1,river plate,15,argentina,99,derecha,"lateral derecho, carrilero derecho",lateral derecho,no convocado
lucas beltran,2001-03-29,175,76,liga profesional,1,river plate,18,argentina,99,derecha,"delantero, extremo derecho",suplente,no convocado
agustin jose urzi,2000-05-04,168,61,liga profesional,1,banfield,11,argentina,99,izquierda,"mediocampista izquierdo, extremo izquierdo",mediocampista derecho,no convocado
adam fernando bareiro gamarra,1996-07-26,184,84,liga profesional,1,san lorenzo,11,paraguay,99,derecha,delantero,delantero,no convocado
facundo mura,1999-03-24,171,69,liga profesional,1,racing club,34,argentina,99,derecha,"lateral derecho, lateral izquierdo",suplente,no convocado
luis ismael vazquez,2001-04-24,190,78,liga profesional,1,boca juniors,38,argentina,99,derecha,delantero,suplente,no convocado
lautaro alberto morales,1999-12-16,187,76,liga profesional,1,lanus,1,argentina,99,derecha,arquero,arquero,no convocado
santiago hezze,2001-10-22,182,77,liga profesional,1,huracan,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo derecho,no convocado
carlos jonas alcaraz,2002-11-30,176,70,liga profesional,1,racing club,22,argentina,99,derecha,"mediocampista ofensivo, mediocampista central, mediocampista izquierdo",suplente,no convocado
oscar exequiel zeballos,2002-04-24,174,71,liga profesional,1,boca juniors,7,argentina,99,derecha,"extremo derecho, extremo izquierdo",suplente,no convocado
gonzalo marinelli,1989-07-07,180,79,liga profesional,1,tigre,23,argentina,99,derecha,arquero,arquero,no convocado
gaspar andres servio,1992-03-09,185,86,liga profesional,1,rosario central,23,argentina,99,derecha,arquero,arquero,no convocado
claudio gaston corvalan,1989-03-23,179,78,liga profesional,1,union santa fe,3,argentina,99,izquierda,"lateral izquierdo, defensor central",lateral izquierdo,no convocado
diego hernan gonzalez,1988-02-09,178,73,liga profesional,1,boca juniors,23,argentina,99,derecha,mediocampista central,reserva,no convocado
diego matias rodriguez,1989-06-25,184,80,liga profesional,1,godoy cruz,50,argentina,99,izquierda,arquero,arquero,no convocado
julio alberto buffarini,1988-08-18,170,74,liga profesional,1,talleres cordoba,8,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
emanuel olivera,1990-04-02,180,75,liga profesional,1,banfield,14,argentina,99,derecha,defensor central,suplente,no convocado
guido marcelo carrillo,1991-05-25,191,87,liga profesional,1,estudiantes,9,argentina,99,derecha,delantero,delantero izquierdo,no convocado
emiliano jorge ruben mendez,1989-02-15,186,80,liga profesional,1,sarmiento,52,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro derecho,no convocado
jorge emanuel broun,1986-05-26,190,92,liga profesional,1,rosario central,1,argentina,99,derecha,arquero,suplente,no convocado
ezequiel osvaldo cerutti,1992-01-17,169,75,liga profesional,1,san lorenzo,7,argentina,99,derecha,"extremo derecho, extremo izquierdo, mediocampista derecho",extremo derecho,no convocado
juan cruz komar,1996-08-13,190,82,liga profesional,1,rosario central,6,argentina,99,derecha,defensor central,defensor central derecho,no convocado
damian alberto martinez,1990-01-31,180,72,liga profesional,1,rosario central,4,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
gabriel gustavo alanis,1994-03-16,186,72,liga profesional,1,defensa y justicia,17,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo, carrilero izquierdo",mediocampista derecho,no convocado
nicolas emanuel fernandez,1996-02-08,165,66,liga profesional,1,defensa y justicia,9,argentina,99,derecha,"delantero, extremo izquierdo, extremo derecho",delantero,no convocado
michael nicolas santos rosadilla,1993-03-13,176,73,liga profesional,1,talleres cordoba,9,uruguay,99,derecha,delantero,suplente,no convocado
ignacio francisco chicco,1996-06-30,184,80,liga profesional,1,colon,17,argentina,99,derecha,arquero,arquero,no convocado
franco troyansky,1997-06-03,178,77,liga profesional,1,lanus,20,argentina,99,izquierda,"delantero, mediocampista derecho, mediocampista izquierdo",mediocampista derecho,no convocado
joaquin nicolas pereyra,1998-12-01,181,71,liga profesional,1,atletico tucuman,22,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",mediocentro izquierdo,no convocado
jonathan diego menendez,1994-03-05,164,63,liga profesional,1,velez sarsfield,27,argentina,99,derecha,"mediocampista derecho, extremo izquierdo, extremo derecho",suplente,no convocado
tomas ezequiel guidara,1996-03-13,173,70,liga profesional,1,velez sarsfield,24,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
gaston nicolas reniero,1995-03-18,183,77,liga profesional,1,racing club,9,argentina,99,derecha,delantero,suplente,no convocado
cristian nahuel barrios,1998-05-07,156,58,liga profesional,1,san lorenzo,28,argentina,99,derecha,"extremo izquierdo, mediocampista ofensivo",extremo izquierdo,no convocado
martin ismael payero,1998-09-11,182,78,liga profesional,1,boca juniors,11,argentina,99,derecha,mediocampista central,mediocentro izquierdo,no convocado
juan ignacio mendez,1997-04-28,177,69,liga profesional,1,velez sarsfield,8,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
manuel vicente capasso,1996-04-19,188,87,liga profesional,1,atletico tucuman,26,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
gianluca ferrari,1997-06-30,184,76,liga profesional,1,godoy cruz,22,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
marcelo alexis weigandt,2000-01-11,175,72,liga profesional,1,boca juniors,57,argentina,99,derecha,lateral derecho,suplente,no convocado
francisco gonzalez metilli,1997-03-29,178,70,liga profesional,1,argentinos juniors,23,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo, delantero",suplente,no convocado
cristian orlando vega,1993-09-17,178,79,liga profesional,1,colon,32,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
nazareno colombo,1999-03-20,184,78,liga profesional,1,defensa y justicia,6,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
benjamin rollheiser,2000-03-24,171,75,liga profesional,1,estudiantes,10,argentina,99,izquierda,"mediocampista izquierdo, mediocampista derecho, delantero",suplente,no convocado
franco ezequiel calderon,1998-05-13,187,80,liga profesional,1,union santa fe,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
eric exequiel meza,1999-04-08,175,72,liga profesional,1,colon,21,argentina,99,derecha,"lateral derecho, carrilero derecho",suplente,no convocado
juan carlos portillo,2000-05-18,182,75,liga profesional,1,union santa fe,28,argentina,99,derecha,"mediocampista defensivo, defensor central, mediocampista central",mediocentro izquierdo,no convocado
matias fernando coccaro ferreira,1997-11-15,178,73,liga profesional,1,huracan,7,uruguay,99,derecha,delantero,delantero,no convocado
ignacio schor,2000-08-04,182,74,liga profesional,1,platense,26,argentina,99,derecha,"mediocampista derecho, extremo derecho, mediocampista izquierdo",extremo derecho,no convocado
juan infante,1996-01-07,177,76,liga profesional,1,platense,3,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",carrilero izquierdo,no convocado
