long_name,frases,embedding_index
ivan jose marcone,ivan jose marcone juega con la camiseta número 23,199
lucas ezequiel janson,"lucas ezequiel janson juega como extremo izquierdo, delantero en velez sarsfield",200
lucas ezequiel janson,lucas ezequiel janson nació el 1994-08-18,201
lucas ezequiel janson,Mide 171 cm y pesa 67 kg,202
lucas ezequiel janson,Su pierna hábil es la derecha,203
lucas ezequiel janson,Su posición principal en el club es extremo izquierdo,204
lucas ezequiel janson,Es de nacionalidad argentina,205
lucas ezequiel janson,Su número en el club es 11,206
lucas ezequiel janson,En la selección juega como no convocado,207
lucas ezequiel janson,lucas ezequiel janson pertenece al club velez sarsfield,208
lucas ezequiel janson,lucas ezequiel janson juega con la camiseta número 11,209
miguel angel borja hernandez,miguel angel borja hernandez juega como delantero en river plate,210
miguel angel borja hernandez,miguel angel borja hernandez nació el 1993-01-26,211
miguel angel borja hernandez,Mide 183 cm y pesa 87 kg,212
miguel angel borja hernandez,Su pierna hábil es la derecha,213
miguel angel borja hernandez,Su posición principal en el club es delantero izquierdo,214
miguel angel borja hernandez,Es de nacionalidad colombia,215
miguel angel borja hernandez,Su número en el club es 9,216
miguel angel borja hernandez,En la selección juega como no convocado,217
miguel angel borja hernandez,miguel angel borja hernandez pertenece al club river plate,218
miguel angel borja hernandez,miguel angel borja hernandez juega con la camiseta número 9,219
oscar david romero villamayor,"oscar david romero villamayor juega como mediocampista ofensivo, mediocampista derecho, mediocampista central en boca juniors",220
oscar david romero villamayor,oscar david romero villamayor nació el 1992-07-04,221
oscar david romero villamayor,Mide 176 cm y pesa 74 kg,222
oscar david romero villamayor,Su pierna hábil es la izquierda,223
oscar david romero villamayor,Su posición principal en el club es mediocampista ofensivo,224
oscar david romero villamayor,Es de nacionalidad paraguay,225
oscar david romero villamayor,Su número en el club es 10,226
oscar david romero villamayor,En la selección juega como no convocado,227
oscar david romero villamayor,oscar david romero villamayor pertenece al club boca juniors,228
oscar david romero villamayor,oscar david romero villamayor juega con la camiseta número 10,229
ezequiel omar barco,"ezequiel omar barco juega como mediocampista izquierdo, delantero, extremo izquierdo en river plate",230
ezequiel omar barco,ezequiel omar barco nació el 1999-03-29,231
ezequiel omar barco,Mide 167 cm y pesa 66 kg,232
ezequiel omar barco,Su pierna hábil es la derecha,233
ezequiel omar barco,Su posición principal en el club es suplente,234
ezequiel omar barco,Es de nacionalidad argentina,235
ezequiel omar barco,Su número en el club es 21,236
ezequiel omar barco,En la selección juega como no convocado,237
ezequiel omar barco,ezequiel omar barco pertenece al club river plate,238
ezequiel omar barco,ezequiel omar barco juega con la camiseta número 21,239
martin exequiel ojeda,"martin exequiel ojeda juega como mediocampista derecho, mediocampista izquierdo en godoy cruz",240
martin exequiel ojeda,martin exequiel ojeda nació el 1998-11-27,241
martin exequiel ojeda,Mide 179 cm y pesa 78 kg,242
martin exequiel ojeda,Su pierna hábil es la izquierda,243
martin exequiel ojeda,Su posición principal en el club es mediocampista derecho,244
martin exequiel ojeda,Es de nacionalidad argentina,245
martin exequiel ojeda,Su número en el club es 10,246
martin exequiel ojeda,En la selección juega como no convocado,247
martin exequiel ojeda,martin exequiel ojeda pertenece al club godoy cruz,248
martin exequiel ojeda,martin exequiel ojeda juega con la camiseta número 10,249
alan gonzalo varela,"alan gonzalo varela juega como mediocampista defensivo, mediocampista central en boca juniors",250
alan gonzalo varela,alan gonzalo varela nació el 2001-07-04,251
alan gonzalo varela,Mide 177 cm y pesa 73 kg,252
alan gonzalo varela,Su pierna hábil es la derecha,253
alan gonzalo varela,Su posición principal en el club es mediocampista defensivo,254
alan gonzalo varela,Es de nacionalidad argentina,255
alan gonzalo varela,Su número en el club es 33,256
alan gonzalo varela,En la selección juega como no convocado,257
alan gonzalo varela,alan gonzalo varela pertenece al club boca juniors,258
alan gonzalo varela,alan gonzalo varela juega con la camiseta número 33,259
emiliano gabriel vecchio,"emiliano gabriel vecchio juega como mediocampista ofensivo, mediocampista central en racing club",260
emiliano gabriel vecchio,emiliano gabriel vecchio nació el 1988-11-16,261
emiliano gabriel vecchio,Mide 178 cm y pesa 84 kg,262
emiliano gabriel vecchio,Su pierna hábil es la derecha,263
emiliano gabriel vecchio,Su posición principal en el club es suplente,264
emiliano gabriel vecchio,Es de nacionalidad argentina,265
emiliano gabriel vecchio,Su número en el club es 20,266
emiliano gabriel vecchio,En la selección juega como no convocado,267
emiliano gabriel vecchio,emiliano gabriel vecchio pertenece al club racing club,268
emiliano gabriel vecchio,emiliano gabriel vecchio juega con la camiseta número 20,269
luis jan piers advincula castrillon,luis jan piers advincula castrillon juega como lateral derecho en boca juniors,270
luis jan piers advincula castrillon,luis jan piers advincula castrillon nació el 1990-03-02,271
luis jan piers advincula castrillon,Mide 180 cm y pesa 80 kg,272
luis jan piers advincula castrillon,Su pierna hábil es la derecha,273
luis jan piers advincula castrillon,Su posición principal en el club es lateral derecho,274
luis jan piers advincula castrillon,Es de nacionalidad peru,275
luis jan piers advincula castrillon,Su número en el club es 17,276
luis jan piers advincula castrillon,En la selección juega como no convocado,277
luis jan piers advincula castrillon,luis jan piers advincula castrillon pertenece al club boca juniors,278
luis jan piers advincula castrillon,luis jan piers advincula castrillon juega con la camiseta número 17,279
francisco andres pizzini,"francisco andres pizzini juega como mediocampista derecho, mediocampista izquierdo en talleres cordoba",280
francisco andres pizzini,francisco andres pizzini nació el 1993-09-19,281
francisco andres pizzini,Mide 178 cm y pesa 75 kg,282
francisco andres pizzini,Su pierna hábil es la derecha,283
francisco andres pizzini,Su posición principal en el club es mediocampista izquierdo,284
francisco andres pizzini,Es de nacionalidad argentina,285
francisco andres pizzini,Su número en el club es 19,286
francisco andres pizzini,En la selección juega como no convocado,287
francisco andres pizzini,francisco andres pizzini pertenece al club talleres cordoba,288
francisco andres pizzini,francisco andres pizzini juega con la camiseta número 19,289
brahian milton aleman athaydes,"brahian milton aleman athaydes juega como mediocampista central, mediocampista ofensivo, mediocampista derecho en banfield",290
brahian milton aleman athaydes,brahian milton aleman athaydes nació el 1989-12-23,291
brahian milton aleman athaydes,Mide 178 cm y pesa 79 kg,292
brahian milton aleman athaydes,Su pierna hábil es la izquierda,293
brahian milton aleman athaydes,Su posición principal en el club es mediocampista ofensivo,294
brahian milton aleman athaydes,Es de nacionalidad uruguay,295
brahian milton aleman athaydes,Su número en el club es 10,296
brahian milton aleman athaydes,En la selección juega como no convocado,297
brahian milton aleman athaydes,brahian milton aleman athaydes pertenece al club banfield,298
brahian milton aleman athaydes,brahian milton aleman athaydes juega con la camiseta número 10,299
rodrigo francisco jesus rey,rodrigo francisco jesus rey juega como arquero en independiente,300
rodrigo francisco jesus rey,rodrigo francisco jesus rey nació el 1991-03-08,301
rodrigo francisco jesus rey,Mide 190 cm y pesa 76 kg,302
rodrigo francisco jesus rey,Su pierna hábil es la derecha,303
rodrigo francisco jesus rey,Su posición principal en el club es arquero,304
rodrigo francisco jesus rey,Es de nacionalidad argentina,305
rodrigo francisco jesus rey,Su número en el club es 33,306
rodrigo francisco jesus rey,En la selección juega como no convocado,307
rodrigo francisco jesus rey,rodrigo francisco jesus rey pertenece al club independiente,308
rodrigo francisco jesus rey,rodrigo francisco jesus rey juega con la camiseta número 33,309
lautaro daniel gianetti,lautaro daniel gianetti juega como defensor central en velez sarsfield,310
lautaro daniel gianetti,lautaro daniel gianetti nació el 1993-11-13,311
lautaro daniel gianetti,Mide 184 cm y pesa 79 kg,312
lautaro daniel gianetti,Su pierna hábil es la derecha,313
lautaro daniel gianetti,Su posición principal en el club es suplente,314
lautaro daniel gianetti,Es de nacionalidad argentina,315
lautaro daniel gianetti,Su número en el club es 17,316
lautaro daniel gianetti,En la selección juega como no convocado,317
lautaro daniel gianetti,lautaro daniel gianetti pertenece al club velez sarsfield,318
lautaro daniel gianetti,lautaro daniel gianetti juega con la camiseta número 17,319
cristian franco lema,cristian franco lema juega como defensor central en lanus,320
cristian franco lema,cristian franco lema nació el 1990-03-24,321
cristian franco lema,Mide 191 cm y pesa 93 kg,322
cristian franco lema,Su pierna hábil es la derecha,323
cristian franco lema,Su posición principal en el club es defensor central derecho,324
cristian franco lema,Es de nacionalidad argentina,325
cristian franco lema,Su número en el club es 2,326
cristian franco lema,En la selección juega como no convocado,327
cristian franco lema,cristian franco lema pertenece al club lanus,328
cristian franco lema,cristian franco lema juega con la camiseta número 2,329
emanuel mammana,"emanuel mammana juega como defensor central, lateral derecho en river plate",330
emanuel mammana,emanuel mammana nació el 1996-02-10,331
emanuel mammana,Mide 183 cm y pesa 72 kg,332
emanuel mammana,Su pierna hábil es la derecha,333
emanuel mammana,Su posición principal en el club es defensor central derecho,334
emanuel mammana,Es de nacionalidad argentina,335
emanuel mammana,Su número en el club es 23,336
emanuel mammana,En la selección juega como no convocado,337
emanuel mammana,emanuel mammana pertenece al club river plate,338
emanuel mammana,emanuel mammana juega con la camiseta número 23,339
luis ezequiel unsain,luis ezequiel unsain juega como arquero en defensa y justicia,340
luis ezequiel unsain,luis ezequiel unsain nació el 1995-03-09,341
luis ezequiel unsain,Mide 188 cm y pesa 83 kg,342
luis ezequiel unsain,Su pierna hábil es la derecha,343
luis ezequiel unsain,Su posición principal en el club es arquero,344
luis ezequiel unsain,Es de nacionalidad argentina,345
luis ezequiel unsain,Su número en el club es 22,346
luis ezequiel unsain,En la selección juega como no convocado,347
luis ezequiel unsain,luis ezequiel unsain pertenece al club defensa y justicia,348
luis ezequiel unsain,luis ezequiel unsain juega con la camiseta número 22,349
jorge agustin rodriguez,"jorge agustin rodriguez juega como mediocampista defensivo, mediocampista central en estudiantes",350
jorge agustin rodriguez,jorge agustin rodriguez nació el 1995-09-15,351
jorge agustin rodriguez,Mide 179 cm y pesa 77 kg,352
jorge agustin rodriguez,Su pierna hábil es la derecha,353
jorge agustin rodriguez,Su posición principal en el club es mediocentro izquierdo,354
jorge agustin rodriguez,Es de nacionalidad argentina,355
jorge agustin rodriguez,Su número en el club es 30,356
jorge agustin rodriguez,En la selección juega como no convocado,357
jorge agustin rodriguez,jorge agustin rodriguez pertenece al club estudiantes,358
jorge agustin rodriguez,jorge agustin rodriguez juega con la camiseta número 30,359
leonardo ezequiel godoy,"leonardo ezequiel godoy juega como lateral derecho, carrilero derecho en estudiantes",360
leonardo ezequiel godoy,leonardo ezequiel godoy nació el 1995-04-28,361
leonardo ezequiel godoy,Mide 173 cm y pesa 70 kg,362
leonardo ezequiel godoy,Su pierna hábil es la derecha,363
leonardo ezequiel godoy,Su posición principal en el club es lateral derecho,364
leonardo ezequiel godoy,Es de nacionalidad argentina,365
leonardo ezequiel godoy,Su número en el club es 29,366
leonardo ezequiel godoy,En la selección juega como no convocado,367
leonardo ezequiel godoy,leonardo ezequiel godoy pertenece al club estudiantes,368
leonardo ezequiel godoy,leonardo ezequiel godoy juega con la camiseta número 29,369
rodrigo german aliendro,"rodrigo german aliendro juega como mediocampista central, mediocampista defensivo en river plate",370
rodrigo german aliendro,rodrigo german aliendro nació el 1991-02-16,371
rodrigo german aliendro,Mide 173 cm y pesa 72 kg,372
rodrigo german aliendro,Su pierna hábil es la derecha,373
rodrigo german aliendro,Su posición principal en el club es suplente,374
rodrigo german aliendro,Es de nacionalidad argentina,375
rodrigo german aliendro,Su número en el club es 27,376
rodrigo german aliendro,En la selección juega como no convocado,377
rodrigo german aliendro,rodrigo german aliendro pertenece al club river plate,378
rodrigo german aliendro,rodrigo german aliendro juega con la camiseta número 27,379
mateo retegui,mateo retegui juega como delantero en tigre,380
mateo retegui,mateo retegui nació el 1999-04-29,381
mateo retegui,Mide 186 cm y pesa 86 kg,382
mateo retegui,Su pierna hábil es la derecha,383
mateo retegui,Su posición principal en el club es delantero,384
mateo retegui,Es de nacionalidad argentina,385
mateo retegui,Su número en el club es 32,386
mateo retegui,En la selección juega como no convocado,387
mateo retegui,mateo retegui pertenece al club tigre,388
mateo retegui,mateo retegui juega con la camiseta número 32,389
anibal ismael moreno,"anibal ismael moreno juega como mediocampista defensivo, mediocampista central en racing club",390
anibal ismael moreno,anibal ismael moreno nació el 1999-05-13,391
anibal ismael moreno,Mide 178 cm y pesa 74 kg,392
anibal ismael moreno,Su pierna hábil es la derecha,393
anibal ismael moreno,Su posición principal en el club es mediocampista defensivo,394
anibal ismael moreno,Es de nacionalidad argentina,395
anibal ismael moreno,Su número en el club es 29,396
anibal ismael moreno,En la selección juega como no convocado,397
anibal ismael moreno,anibal ismael moreno pertenece al club racing club,398
anibal ismael moreno,anibal ismael moreno juega con la camiseta número 29,399
robert samuel rojas chavez,"robert samuel rojas chavez juega como lateral derecho, defensor central en river plate",400
robert samuel rojas chavez,robert samuel rojas chavez nació el 1996-04-30,401
robert samuel rojas chavez,Mide 176 cm y pesa 75 kg,402
robert samuel rojas chavez,Su pierna hábil es la derecha,403
robert samuel rojas chavez,Su posición principal en el club es suplente,404
robert samuel rojas chavez,Es de nacionalidad paraguay,405
robert samuel rojas chavez,Su número en el club es 2,406
robert samuel rojas chavez,En la selección juega como no convocado,407
robert samuel rojas chavez,robert samuel rojas chavez pertenece al club river plate,408
robert samuel rojas chavez,robert samuel rojas chavez juega con la camiseta número 2,409
agustin palavecino lamela,"agustin palavecino lamela juega como mediocampista central, mediocampista ofensivo en river plate",410
agustin palavecino lamela,agustin palavecino lamela nació el 1996-11-09,411
agustin palavecino lamela,Mide 179 cm y pesa 74 kg,412
agustin palavecino lamela,Su pierna hábil es la derecha,413
agustin palavecino lamela,Su posición principal en el club es mediocentro derecho,414
agustin palavecino lamela,Es de nacionalidad argentina,415
agustin palavecino lamela,Su número en el club es 8,416
agustin palavecino lamela,En la selección juega como no convocado,417
agustin palavecino lamela,agustin palavecino lamela pertenece al club river plate,418
agustin palavecino lamela,agustin palavecino lamela juega con la camiseta número 8,419
facundo hernan farias,"facundo hernan farias juega como delantero, delantero centro, mediocampista izquierdo en colon",420
facundo hernan farias,facundo hernan farias nació el 2002-08-28,421
facundo hernan farias,Mide 171 cm y pesa 69 kg,422
facundo hernan farias,Su pierna hábil es la derecha,423
facundo hernan farias,Su posición principal en el club es suplente,424
facundo hernan farias,Es de nacionalidad argentina,425
facundo hernan farias,Su número en el club es 35,426
facundo hernan farias,En la selección juega como no convocado,427
facundo hernan farias,facundo hernan farias pertenece al club colon,428
facundo hernan farias,facundo hernan farias juega con la camiseta número 35,429
mariano gonzalo andujar,mariano gonzalo andujar juega como arquero en estudiantes,430
mariano gonzalo andujar,mariano gonzalo andujar nació el 1983-07-30,431
mariano gonzalo andujar,Mide 194 cm y pesa 88 kg,432
mariano gonzalo andujar,Su pierna hábil es la derecha,433
mariano gonzalo andujar,Su posición principal en el club es arquero,434
mariano gonzalo andujar,Es de nacionalidad argentina,435
mariano gonzalo andujar,Su número en el club es 21,436
mariano gonzalo andujar,En la selección juega como no convocado,437
mariano gonzalo andujar,mariano gonzalo andujar pertenece al club estudiantes,438
mariano gonzalo andujar,mariano gonzalo andujar juega con la camiseta número 21,439
lautaro german acosta,"lautaro german acosta juega como mediocampista izquierdo, mediocampista derecho, delantero en lanus",440
lautaro german acosta,lautaro german acosta nació el 1988-03-14,441
lautaro german acosta,Mide 169 cm y pesa 67 kg,442
lautaro german acosta,Su pierna hábil es la derecha,443
lautaro german acosta,Su posición principal en el club es mediocampista izquierdo,444
lautaro german acosta,Es de nacionalidad argentina,445
lautaro german acosta,Su número en el club es 7,446
lautaro german acosta,En la selección juega como no convocado,447
lautaro german acosta,lautaro german acosta pertenece al club lanus,448
lautaro german acosta,lautaro german acosta juega con la camiseta número 7,449
bruno zuculini,"bruno zuculini juega como mediocampista defensivo, mediocampista central en river plate",450
bruno zuculini,bruno zuculini nació el 1993-04-02,451
bruno zuculini,Mide 182 cm y pesa 77 kg,452
bruno zuculini,Su pierna hábil es la derecha,453
bruno zuculini,Su posición principal en el club es suplente,454
bruno zuculini,Es de nacionalidad argentina,455
bruno zuculini,Su número en el club es 5,456
bruno zuculini,En la selección juega como no convocado,457
